         88290065 function calls (88037980 primitive calls) in 34.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      107    0.000    0.000    0.000    0.000 __init__.py:163(match)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       74    0.000    0.000    0.000    0.000 pkgutil.py:407(get_importer)
      472    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       23    0.000    0.000    0.000    0.000 overrides.py:220(decorator)
      266    0.000    0.000    0.000    0.000 enum.py:1096(__new__)
      568    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
  349/305    0.000    0.000    0.000    0.000 typing.py:1351(__hash__)
      117    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:237(__set_name__)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      141    0.000    0.000    0.000    0.000 typing.py:1267(__getattr__)
       37    0.000    0.000    0.000    0.000 enum.py:356(__setitem__)
     1735    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1584    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 parser.py:46(Parser)
       36    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
        2    0.000    0.000    0.000    0.000 main.py:400(get_constructor_parser)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 __init__.py:3008(DistInfoDistribution)
       83    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        3    0.000    0.000    0.000    0.000 dataclasses.py:413(_create_fn)
      456    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
     2470    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      688    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:625(_getfinalpathname_nonstrict)
     1063    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      356    0.000    0.000    0.000    0.000 <frozen codecs>:331(getstate)
      217    0.000    0.000    0.000    0.000 __init__.py:2823(__getattr__)
       11    0.000    0.000    0.000    0.000 typing.py:2797(<dictcomp>)
        2    0.000    0.000    0.000    0.000 events.py:1(<module>)
       29    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 async_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ansi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      317    0.000    0.000    0.000    0.000 function_base.py:451(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
       54    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
        1    0.000    0.000    0.000    0.000 parser.py:172(parse_stream_start)
        2    0.000    0.000    0.000    0.000 inspect.py:592(getmembers)
      123    0.000    0.000    0.000    0.000 typing.py:287(_deduplicate)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2850(NamedTuple)
       18    0.000    0.000    0.000    0.000 __init__.py:2032(find_distributions)
        2    0.000    0.000    0.000    0.000 inspect.py:550(_getmembers)
       14    0.000    0.000    0.000    0.000 core.py:8210(__init__)
        1    0.000    0.000    0.000    0.000 idtracking.py:30(Symbols)
      469    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      558    0.000    0.000    0.000    0.000 version.py:202(<genexpr>)
      220    0.000    0.000    0.000    0.000 pathlib.py:147(splitroot)
      556    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      100    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
       38    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       28    0.000    0.000    0.000    0.000 enum.py:1494(__or__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
      954    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
       88    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:844(_create_)
        2    0.000    0.000    0.000    0.000 _itertools.py:1(<module>)
     1163    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       14    0.000    0.000    0.000    0.000 core.py:8215(getdoc)
      419    0.000    0.000    0.000    0.000 _virtualenv.py:51(find_spec)
      158    0.000    0.000    0.000    0.000 pathlib.py:523(_format_parsed_parts)
       66    0.000    0.000    0.000    0.000 __init__.py:3150(_find_adapter)
        1    0.000    0.000    0.000    0.000 _musllinux.py:1(<module>)
    70/42    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      533    0.000    0.000    0.000    0.000 typing.py:868(__eq__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
        6    0.000    0.000    0.000    0.000 enum.py:473(__prepare__)
        4    0.000    0.000    0.000    0.000 reader.py:113(stream)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
        1    0.000    0.000    0.000    0.000 utils.py:76(_PassArg)
       12    0.000    0.000    0.000    0.000 pathlib.py:927(iterdir)
       38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       70    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.000    0.000 runtime.py:387(LoopContext)
       87    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
        3    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       42    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
     1045    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 __init__.py:1484(get_metadata_lines)
       84    0.000    0.000    0.000    0.000 _collections.py:28(parse)
    70/42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      401    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    0.000    0.000 reader.py:191(determine_encoding)
       21    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
      408    0.000    0.000    0.000    0.000 typing.py:1632(__eq__)
      117    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 win32.py:1(<module>)
      864    0.000    0.000    0.000    0.000 typing.py:1338(<genexpr>)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       16    0.000    0.000    0.000    0.000 __init__.py:20(_simple_escaping_wrapper)
  564/431    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 types.py:1(<module>)
  138/109    0.000    0.000    0.000    0.000 typing.py:1637(__hash__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 runtime.py:584(AsyncLoopContext)
       26    0.000    0.000    0.000    0.000 typing.py:918(__init__)
        1    0.000    0.000    0.000    0.000 runtime.py:142(Context)
      558    0.000    0.000    0.000    0.000 version.py:242(<genexpr>)
        2    0.000    0.000    0.000    0.000 scalarint.py:1(<module>)
       84    0.000    0.000    0.000    0.000 __init__.py:450(_replace)
        1    0.000    0.000    0.000    0.000 inspect.py:3277(signature)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:3023(from_callable)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       72    0.000    0.000    0.000    0.000 utils.py:32(canonicalize_name)
        1    0.000    0.000    0.000    0.000 __init__.py:1471(get_metadata)
        1    0.000    0.000    0.000    0.000 loaders.py:428(FunctionLoader)
       98    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       50    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
      448    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      402    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:18(TemplateNotFound)
       50    0.000    0.000    0.000    0.000 _internal.py:869(_ufunc_doc_signature_formatter)
        3    0.000    0.000    0.000    0.000 ansi.py:26(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:532(parse_block_sequence_first_entry)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
       94    0.000    0.000    0.000    0.000 enum.py:831(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6515(__new__)
      2/1    0.000    0.000    0.000    0.000 inspect.py:2426(_signature_from_callable)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       11    0.000    0.000    0.000    0.000 async_utils.py:13(decorator)
      234    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        2    0.000    0.000    0.000    0.000 scalarfloat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ext_type.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:41(Registry)
        1    0.000    0.000    0.000    0.000 lexer.py:469(Lexer)
       72    0.000    0.000    0.000    0.000 __init__.py:404(_from_text)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 __init__.py:1683(_get)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 dataclasses.py:528(_init_fn)
        2    0.000    0.000    0.000    0.000 base.py:56(__init__)
      744    0.000    0.000    0.000    0.000 default_settings.py:16(try_renamed)
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      595    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:58(Sectioned)
        1    0.000    0.000    0.000    0.000 nodes.py:456(AssignBlock)
        3    0.000    0.000    0.000    0.000 decorators.py:67(A)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:420(LRUCache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1378(get_resource_reader)
      117    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
     1122    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 loaders.py:152(FileSystemLoader)
        2    0.000    0.000    0.000    0.000 glob.py:111(_glob0)
       20    0.000    0.000    0.000    0.000 compiler.py:43(optimizeconst)
        1    0.000    0.000    0.000    0.000 readers.py:108(__init__)
       73    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       51    0.000    0.000    0.000    0.000 typing.py:1609(<genexpr>)
      130    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        6    0.000    0.000    0.000    0.000 decorators.py:52(B)
        1    0.000    0.000    0.000    0.000 __init__.py:335(_sanity_check)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      210    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
      308    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       92    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
        6    0.000    0.000    0.000    0.000 decorators.py:38(_make_command)
        1    0.000    0.000    0.000    0.000 __init__.py:1019(Environment)
        1    0.000    0.000    0.000    0.000 specifiers.py:678(SpecifierSet)
        1    0.000    0.000    0.000    0.000 nodes.py:423(FromImport)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
      208    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
        4    0.000    0.000    0.000    0.000 enum.py:1379(_missing_)
        2    0.000    0.000    0.000    0.000 glob.py:191(_lexists)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
        1    0.000    0.000    0.000    0.000 context.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:945(_get_mixins_)
      211    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
     1007    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      371    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:268(lexists)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      209    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      957    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 lexer.py:463(_Rule)
       84    0.000    0.000    0.000    0.000 __init__.py:193(__init__)
       18    0.000    0.000    0.000    0.000 <frozen _collections_abc>:778(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(MemoizedZipManifests)
       84    0.000    0.000    0.000    0.000 __init__.py:440(_make)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        2    0.000    0.000    0.000    0.000 serializer.py:1(<module>)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      117    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x00000160F8338360}
        5    0.000    0.000    0.000    0.000 core.py:366(A)
       40    0.000    0.000    0.000    0.000 _parser.py:256(getwhile)
        2    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
        1    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
        1    0.000    0.000    0.000    0.000 dataclasses.py:588(_repr_fn)
      101    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      703    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 composer.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:390(__init__)
        1    0.000    0.000    0.000    0.000 _types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:849(__init__)
        1    0.000    0.000    0.000    0.000 readers.py:61(__init__)
        7    0.000    0.000    0.000    0.000 typing.py:2011(__init_subclass__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loaders.py:42(BaseLoader)
       13    0.000    0.000    0.000    0.000 _compiler.py:389(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:88(C)
      432    0.000    0.000    0.000    0.000 version.py:452(_parse_letter_version)
       72    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
        1    0.000    0.000    0.000    0.000 __init__.py:805(zip_children)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:32(_register)
        1    0.000    0.000    0.000    0.000 _tokenizer.py:86(Tokenizer)
        2    0.000    0.000    0.000    0.000 base.py:80(__resolve_config_aliases)
        6    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       82    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        3    0.000    0.000    0.000    0.000 core.py:474(__init__)
        3    0.000    0.000    0.000    0.000 _itertools.py:18(unique_everseen)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
       81    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.000    0.000 base.py:201(Settings)
        1    0.000    0.000    0.000    0.000 loaders.py:404(DictLoader)
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:2375(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:386(__getattr__)
        1    0.000    0.000    0.000    0.000 box_list.py:1(<module>)
      144    0.000    0.000    0.000    0.000 __init__.py:1999(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:555(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       83    0.000    0.000    0.000    0.000 pathlib.py:515(_from_parsed_parts)
       91    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      112    0.000    0.000    0.000    0.000 typing.py:266(_check_generic)
        1    0.000    0.000    0.000    0.000 zipfile.py:2251(make)
       62    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 lexer.py:317(TokenStream)
        1    0.000    0.000    0.000    0.000 compiler.py:165(Frame)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        3    0.000    0.000    0.000    0.000 readers.py:70(<genexpr>)
      405    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        1    0.000    0.000    0.000    0.000 sysconfig.py:219(is_python_build)
        9    0.000    0.000    0.000    0.000 compiler.py:59(_make_binop)
        3    0.000    0.000    0.000    0.000 __init__.py:503(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 inspect.py:2331(_signature_from_function)
        4    0.000    0.000    0.000    0.000 enum.py:1441(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
       92    0.000    0.000    0.000    0.000 contextlib.py:434(__exit__)
        6    0.000    0.000    0.000    0.000 enum.py:1009(_find_new_)
      122    0.000    0.000    0.000    0.000 __init__.py:118(valid)
       84    0.000    0.000    0.000    0.000 __init__.py:221(_for)
      291    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.000    0.000 runtime.py:655(Macro)
        1    0.000    0.000    0.000    0.000 _parser.py:52(ParsedRequirement)
        2    0.000    0.000    0.000    0.000 scanner.py:91(reset_scanner)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       52    0.000    0.000    0.000    0.000 enum.py:192(__get__)
        1    0.000    0.000    0.000    0.000 readers.py:16(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       72    0.000    0.000    0.000    0.000 __init__.py:99(section_pairs)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       41    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 windows.py:1(<module>)
       74    0.000    0.000    0.000    0.000 <frozen os>:818(fsdecode)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nodes.py:653(Dict)
        1    0.000    0.000    0.000    0.000 loaders.py:473(PrefixLoader)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
       73    0.000    0.000    0.000    0.000 __init__.py:710(__iter__)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:1369(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 zipfile.py:1242(__init__)
      266    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 scanner.py:1515(scan_flow_scalar_breaks)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      555    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       31    0.000    0.000    0.000    0.000 <frozen ntpath>:538(normpath)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:583(_readlink_deep)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:113(WINFUNCTYPE)
        1    0.000    0.000    0.000    0.000 <frozen os>:1108(add_dll_directory)
       50    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        2    0.000    0.000    0.000    0.000 scanner.py:441(fetch_stream_start)
      235    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        1    0.000    0.000    0.000    0.000 specifiers.py:52(BaseSpecifier)
        1    0.000    0.000    0.000    0.000 datetime.py:893(date)
        1    0.000    0.000    0.000    0.000 core.py:218(Command)
        1    0.000    0.000    0.000    0.000 nodes.py:621(Tuple)
        1    0.000    0.000    0.000    0.000 bccache.py:329(MemcachedBytecodeCache)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       14    0.000    0.000    0.000    0.000 core.py:8227(_replace_return_type)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        6    0.000    0.000    0.000    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.000    0.000 box.py:53(Box)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        2    0.000    0.000    0.000    0.000 core.py:2966(__array_finalize__)
        1    0.000    0.000    0.000    0.000 runtime.py:339(BlockReference)
        3    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        8    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       16    0.000    0.000    0.000    0.000 __init__.py:393(__getitem__)
       44    0.000    0.000    0.000    0.000 types.py:164(__init__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
      574    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       29    0.000    0.000    0.000    0.000 typing.py:1924(_caller)
        1    0.000    0.000    0.000    0.000 markers.py:186(Marker)
       81    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        1    0.000    0.000    0.000    0.000 error.py:57(MarkedYAMLWarning)
        2    0.000    0.000    0.000    0.000 parser.py:186(parse_implicit_document_start)
        5    0.000    0.000    0.000    0.000 decorators.py:63(C)
        1    0.000    0.000    0.000    0.000 nodes.py:335(If)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 functional.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        2    0.000    0.000    0.000    0.000 scalarbool.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       19    0.000    0.000    0.000    0.000 enum.py:935(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 api.py:1(<module>)
        2    0.000    0.000    0.000    0.000 readers.py:66(<genexpr>)
        2    0.000    0.000    0.000    0.000 base.py:96(<setcomp>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1564(_guarded_repr_or_str)
        2    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
        1    0.000    0.000    0.000    0.000 optimizer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:848(search)
        2    0.000    0.000    0.000    0.000 typing.py:330(_tp_cache)
        1    0.000    0.000    0.000    0.000 _globals.py:93(_CopyMode)
       12    0.000    0.000    0.000    0.000 typing.py:1621(<genexpr>)
        1    0.000    0.000    0.000    0.000 exceptions.py:53(TemplatesNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:3227(_initialize)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
        1    0.000    0.000    0.000    0.000 nodes.py:301(Output)
        2    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1245(is_dir)
        9    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        2    0.000    0.000    0.000    0.000 <frozen os>:682(__setitem__)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
        1    0.000    0.000    0.000    0.000 config_box.py:1(<module>)
       22    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 loaders.py:238(PackageLoader)
       13    0.000    0.000    0.000    0.000 enum.py:981(_find_data_type_)
        1    0.000    0.000    0.000    0.000 visitor.py:1(<module>)
