         88290065 function calls (88037980 primitive calls) in 34.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.132    0.066 base.py:1(<module>)
      354    0.003    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.123    0.123 flask_dynaconf.py:1(<module>)
   969393    0.113    0.000    0.113    0.000 reader.py:105(stream)
        1    0.000    0.000    0.107    0.107 _msgpack_api.py:1(<module>)
        1    0.000    0.000    0.098    0.098 default_settings.py:1(<module>)
    64574    0.029    0.000    0.097    0.000 constructor.py:93(resolver)
   468231    0.088    0.000    0.088    0.000 tokens.py:16(__init__)
        1    0.000    0.000    0.084    0.084 parse_conf.py:1(<module>)
        1    0.000    0.000    0.083    0.083 _msgpack_numpy.py:1(<module>)
   239326    0.081    0.000    0.081    0.000 events.py:17(__init__)
      419    0.004    0.000    0.080    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
   117483    0.046    0.000    0.078    0.000 scanner.py:387(remove_possible_simple_key)
   226514    0.078    0.000    0.078    0.000 nodes.py:15(__init__)
      354    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      400    0.000    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      400    0.001    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      768    0.006    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
   222160    0.042    0.000    0.070    0.000 <frozen abc>:117(__instancecheck__)
   215754    0.054    0.000    0.068    0.000 constructor.py:197(construct_scalar)
   116437    0.065    0.000    0.065    0.000 {method 'match' of 're.Pattern' objects}
      354    0.062    0.000    0.062    0.000 {built-in method io.open_code}
    10759    0.054    0.000    0.061    0.000 constructor.py:377(flatten_mapping)
     2232    0.059    0.000    0.059    0.000 {built-in method nt.stat}
   432593    0.055    0.000    0.055    0.000 {method 'get' of 'dict' objects}
   239326    0.055    0.000    0.055    0.000 parser.py:157(get_event)
     6403    0.021    0.000    0.052    0.000 scanner.py:562(fetch_block_entry)
   499878    0.052    0.000    0.052    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.052    0.026 __init__.py:3222(_call_aside)
        1    0.000    0.000    0.052    0.052 __init__.py:3248(_initialize_master_working_set)
      530    0.001    0.000    0.052    0.000 __init__.py:272(_compile)
      116    0.000    0.000    0.051    0.000 __init__.py:225(compile)
     1846    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      117    0.000    0.000    0.050    0.000 _compiler.py:738(compile)
     2393    0.015    0.000    0.045    0.000 scanner.py:1055(scan_anchor)
     2048    0.003    0.000    0.044    0.000 scanner.py:685(fetch_alias)
   226514    0.041    0.000    0.041    0.000 resolver.py:226(descend_resolver)
       18    0.000    0.000    0.040    0.002 __init__.py:645(add_entry)
        1    0.000    0.000    0.040    0.040 boxing.py:1(<module>)
        3    0.000    0.000    0.039    0.013 main.py:1(<module>)
      693    0.001    0.000    0.039    0.000 scanner.py:737(fetch_flow_scalar)
      160    0.001    0.000    0.039    0.000 __init__.py:2076(find_on_path)
     1047    0.004    0.000    0.039    0.000 reader.py:266(update)
   226514    0.038    0.000    0.038    0.000 resolver.py:251(ascend_resolver)
   220900    0.038    0.000    0.038    0.000 {method 'join' of 'str' objects}
   226514    0.038    0.000    0.038    0.000 parser.py:149(peek_event)
  405/390    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      693    0.005    0.000    0.037    0.000 scanner.py:1383(scan_flow_scalar)
   111079    0.036    0.000    0.036    0.000 scanner.py:56(__init__)
        1    0.000    0.000    0.036    0.036 box.py:1(<module>)
1069/1063    0.009    0.000    0.035    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.033    0.033 converters.py:1(<module>)
      593    0.000    0.000    0.032    0.000 scanner.py:729(fetch_single)
        1    0.000    0.000    0.030    0.030 environment.py:1(<module>)
   117482    0.028    0.000    0.029    0.000 scanner.py:430(add_indent)
      117    0.000    0.000    0.029    0.000 _parser.py:970(parse)
  476/117    0.002    0.000    0.028    0.000 _parser.py:447(_parse_sub)
   222160    0.028    0.000    0.028    0.000 {built-in method _abc._abc_instancecheck}
  700/123    0.011    0.000    0.028    0.000 _parser.py:507(_parse)
      354    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      354    0.026    0.000    0.026    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.024    0.024 env_loader.py:1(<module>)
