+-----------------+---------+--------------+---------+----------+--------+----------+----------+
| variable        |   count |   null_count |    mean |      std |    min |      max |   median |
| hlpminr         |   68846 |        67405 |       5 |        2 |      0 |        7 |        5 |
| hlpminfg        |   68846 |        67497 |       3 |        2 |      0 |        7 |        3 |
| cutspdr         |   68846 |        67417 |       4 |        2 |      0 |        7 |        4 |
| cutspdfg        |   68846 |        67484 |       5 |        2 |      0 |        7 |        5 |
| impfam          |   68846 |        67010 |       7 |        1 |      1 |        7 |        7 |
| impwork         |   68846 |        67009 |       6 |        2 |      1 |        7 |        6 |
| imprelax        |   68846 |        67012 |       6 |        2 |      1 |        7 |        6 |
| impfrend        |   68846 |        67009 |       6 |        1 |      1 |        7 |        6 |
| impkin          |   68846 |        67010 |       6 |        1 |      1 |        7 |        7 |
| impchurh        |   68846 |        67010 |       6 |        2 |      1 |        7 |        6 |
| imppol          |   68846 |        67010 |       4 |        2 |      1 |        7 |        4 |
| privacy         |   68846 |        67016 |       2 |        1 |      1 |        4 |        2 |
| civic           |   68846 |        67007 |       2 |        1 |      1 |        4 |        2 |
| rushed          |   68846 |        63590 |       2 |        1 |      1 |        3 |        2 |
| bored           |   68846 |        66271 |       2 |        1 |      1 |        3 |        2 |
| stresswk        |   68846 |        68371 |       2 |        1 |      1 |        4 |        2 |
| pollgood        |   68846 |        67124 |       1 |        1 |      1 |        3 |        1 |
| polltrue        |   68846 |        67083 |       2 |        1 |      1 |        4 |        3 |
| feserve         |   68846 |        65651 |       2 |        1 |      1 |        4 |        2 |
| meserve         |   68846 |        65649 |       2 |        1 |      1 |        4 |        2 |
| taxserve        |   68846 |        66543 |       2 |        1 |      1 |        4 |        2 |
| milqual         |   68846 |        64297 |       2 |        1 |      1 |        4 |        2 |
| milpay          |   68846 |        65841 |       2 |        1 |      1 |        3 |        2 |
| fenumok         |   68846 |        64360 |       2 |        1 |      1 |        3 |        2 |
| hinumok         |   68846 |        65475 |       2 |        1 |      1 |        3 |        2 |
| blnumok         |   68846 |        65319 |       2 |        1 |      1 |        3 |        2 |
| hinumoky        |   68846 |        68069 |       2 |        1 |      1 |        3 |        2 |
| blnumoky        |   68846 |        68023 |       2 |        1 |      1 |        3 |        2 |
| milvolok        |   68846 |        65754 |       2 |        1 |      1 |        3 |        2 |
| fightair        |   68846 |        67049 |       1 |        0 |      1 |        2 |        1 |
| mechanic        |   68846 |        67035 |       1 |        0 |      1 |        2 |        1 |
| nurse           |   68846 |        67025 |       1 |        0 |      1 |        2 |        1 |
| typist          |   68846 |        67021 |       1 |        0 |      1 |        2 |        1 |
| brass           |   68846 |        67060 |       1 |        0 |      1 |        2 |        1 |
| fightlnd        |   68846 |        67056 |       2 |        0 |      1 |        2 |        2 |
| transair        |   68846 |        67051 |       1 |        0 |      1 |        2 |        1 |
| gunner          |   68846 |        67068 |       1 |        0 |      1 |        2 |        1 |
| fightsea        |   68846 |        67067 |       1 |        0 |      1 |        2 |        1 |
| fefight         |   68846 |        67468 |       2 |        0 |      1 |        2 |        2 |
| fedirty         |   68846 |        67554 |       1 |        0 |      1 |        2 |        1 |
| febrass         |   68846 |        67530 |       1 |        0 |      1 |        2 |        1 |
| fehlpmil        |   68846 |        67218 |       2 |        1 |      1 |        3 |        2 |
| draft           |   68846 |        62719 |       2 |        0 |      1 |        2 |        2 |
| draftfe         |   68846 |        67382 |       1 |        0 |      1 |        2 |        1 |
| draftem         |   68846 |        65632 |       1 |        0 |      1 |        2 |        1 |
| draftfem        |   68846 |        66263 |       1 |        0 |      1 |        2 |        1 |
| draftcol        |   68846 |        67060 |       2 |        0 |      1 |        2 |        2 |
| draftmar        |   68846 |        67077 |       2 |        0 |      1 |        2 |        2 |
| draftpar        |   68846 |        67033 |       1 |        0 |      1 |        2 |        1 |
| draftgay        |   68846 |        67103 |       2 |        0 |      1 |        2 |        2 |
| draftco         |   68846 |        67098 |       2 |        0 |      1 |        2 |        2 |
| draftdef        |   68846 |        67081 |       1 |        0 |      1 |        2 |        1 |
| vetfam          |   68846 |        65551 |       1 |        0 |      1 |        2 |        1 |
| vetfamnw        |   68846 |        67790 |       2 |        0 |      1 |        2 |        2 |
| minmilop        |   68846 |        67497 |       2 |        1 |      1 |        3 |        1 |
| femilop         |   68846 |        67480 |       2 |        1 |      1 |        3 |        2 |
| copunish        |   68846 |        67444 |       1 |        0 |      1 |        2 |        1 |
| cojail          |   68846 |        67930 |       2 |        0 |      1 |        2 |        2 |
| milokme         |   68846 |        67424 |       2 |        1 |      1 |        4 |        2 |
| milokfe         |   68846 |        67453 |       2 |        1 |      1 |        4 |        2 |
| upgrade         |   68846 |        67425 |       2 |        0 |      1 |        2 |        2 |
| jobtrain        |   68846 |        67434 |       2 |        1 |      1 |        2 |        2 |
| nukewar         |   68846 |        67428 |       3 |        2 |      1 |        7 |        3 |
| landwar         |   68846 |        67433 |       4 |        2 |      1 |        7 |        4 |
| morenuke        |   68846 |        67440 |       5 |        2 |      1 |        7 |        5 |
| lessnuke        |   68846 |        67435 |       3 |        2 |      1 |        7 |        3 |
| nonuke          |   68846 |        67439 |       2 |        2 |      1 |        7 |        1 |
| guerilla        |   68846 |        67484 |       5 |        2 |      1 |        7 |        6 |
| vetaid          |   68846 |        67403 |       2 |        0 |      1 |        2 |        2 |
| defwrkev        |   68846 |        67403 |       2 |        0 |      1 |        2 |        2 |
| defwrknw        |   68846 |        68667 |       2 |        0 |      1 |        2 |        2 |
| milwrkev        |   68846 |        67401 |       2 |        0 |      1 |        2 |        2 |
| milwrknw        |   68846 |        68768 |       2 |        0 |      1 |        2 |        2 |
| resdefwk        |   68846 |        67471 |       2 |        1 |      1 |        3 |        3 |
| obvote          |   68846 |        67399 |       1 |        1 |      1 |        3 |        1 |
| obvol           |   68846 |        67405 |       2 |        1 |      1 |        3 |        2 |
| objury          |   68846 |        67408 |       1 |        1 |      1 |        3 |        1 |
| ob911           |   68846 |        67404 |       1 |        0 |      1 |        3 |        1 |
| obeng           |   68846 |        67400 |       1 |        0 |      1 |        3 |        1 |
| obknow          |   68846 |        67407 |       1 |        1 |      1 |        3 |        1 |
| obmepax         |   68846 |        67414 |       2 |        1 |      1 |        3 |        2 |
| obmewar         |   68846 |        67406 |       1 |        0 |      1 |        3 |        1 |
| obfepax         |   68846 |        67416 |       2 |        1 |      1 |        3 |        2 |
| obfewar         |   68846 |        67415 |       2 |        1 |      1 |        3 |        2 |
| helppoor        |   68846 |        33599 |       3 |        1 |      1 |        5 |        3 |
| helpnot         |   68846 |        34347 |       3 |        1 |      1 |        5 |        3 |
| helpsick        |   68846 |        33509 |       2 |        1 |      1 |        5 |        2 |
| helpblk         |   68846 |        33370 |       3 |        1 |      1 |        5 |        3 |
| numgiven        |   68846 |        64089 |       3 |        2 |      0 |        6 |        3 |
| eqclose         |   68846 |        66318 |       1 |        0 |      1 |        2 |        1 |
| rclose1         |   68846 |        67781 |       1 |        0 |      1 |        2 |        1 |
| rclose2         |   68846 |        67781 |       2 |        0 |      1 |        2 |        2 |
| rclose3         |   68846 |        67953 |       2 |        0 |      1 |        2 |        2 |
| rclose4         |   68846 |        68524 |       2 |        0 |      1 |        2 |        2 |
| rclose5         |   68846 |        68644 |       2 |        0 |      1 |        2 |        2 |
| close12         |   68846 |        66900 |       2 |        1 |      1 |        3 |        2 |
| close13         |   68846 |        67415 |       2 |        1 |      1 |        3 |        2 |
| close14         |   68846 |        67959 |       2 |        1 |      1 |        3 |        2 |
| close15         |   68846 |        68318 |       2 |        1 |      1 |        3 |        2 |
| close23         |   68846 |        67408 |       2 |        1 |      1 |        3 |        2 |
| close24         |   68846 |        67966 |       2 |        1 |      1 |        3 |        2 |
| close25         |   68846 |        68320 |       2 |        1 |      1 |        3 |        2 |
| close34         |   68846 |        67956 |       2 |        1 |      1 |        3 |        2 |
| close35         |   68846 |        68320 |       2 |        1 |      1 |        3 |        2 |
| close45         |   68846 |        68314 |       2 |        1 |      1 |        3 |        2 |
| sex1            |   68846 |        66388 |       2 |        0 |      1 |        2 |        2 |
| sex2            |   68846 |        66893 |       2 |        1 |      1 |        2 |        2 |
| sex3            |   68846 |        67389 |       2 |        0 |      1 |        2 |        2 |
| sex4            |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| sex5            |   68846 |        68303 |       2 |        1 |      1 |        2 |        2 |
| race1           |   68846 |        66391 |       4 |        1 |      1 |        5 |        4 |
| race2           |   68846 |        66893 |       4 |        1 |      1 |        5 |        4 |
| race3           |   68846 |        67391 |       4 |        1 |      1 |        5 |        4 |
| race4           |   68846 |        67943 |       4 |        1 |      1 |        5 |        4 |
| race5           |   68846 |        68303 |       4 |        1 |      1 |        5 |        4 |
| spouse1         |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| spouse2         |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| spouse3         |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| spouse4         |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| spouse5         |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| parent1         |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| parent2         |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| parent3         |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| parent4         |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| parent5         |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| sibling1        |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| sibling2        |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| sibling3        |   68846 |        66331 |       2 |        0 |      1 |        2 |        2 |
| sibling4        |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| sibling5        |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| child1          |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| child2          |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| child3          |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| child4          |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| child5          |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| othfam1         |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| othfam2         |   68846 |        65481 |       2 |        0 |      1 |        2 |        2 |
| othfam3         |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| othfam4         |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| othfam5         |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| cowork1         |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| cowork2         |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| cowork3         |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| cowork4         |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| cowork5         |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| memgrp1         |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| memgrp2         |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| memgrp3         |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| memgrp4         |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| memgrp5         |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| neighbr1        |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| neighbr2        |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| neighbr3        |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| neighbr4        |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| neighbr5        |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| friend1         |   68846 |        64685 |       1 |        0 |      1 |        2 |        1 |
| friend2         |   68846 |        65479 |       1 |        0 |      1 |        2 |        1 |
| friend3         |   68846 |        66331 |       1 |        0 |      1 |        2 |        1 |
| friend4         |   68846 |        67941 |       1 |        0 |      1 |        2 |        1 |
| friend5         |   68846 |        68302 |       1 |        0 |      1 |        2 |        1 |
| advisor1        |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| advisor2        |   68846 |        65480 |       2 |        0 |      1 |        2 |        2 |
| advisor3        |   68846 |        66331 |       2 |        0 |      1 |        2 |        2 |
| advisor4        |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| advisor5        |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| other1          |   68846 |        64685 |       2 |        0 |      1 |        2 |        2 |
| other2          |   68846 |        65482 |       2 |        0 |      1 |        2 |        2 |
| other3          |   68846 |        66332 |       2 |        0 |      1 |        2 |        2 |
| other4          |   68846 |        67941 |       2 |        0 |      1 |        2 |        2 |
| other5          |   68846 |        68302 |       2 |        0 |      1 |        2 |        2 |
| talkto1         |   68846 |        66393 |       1 |        1 |      1 |        4 |        1 |
| talkto2         |   68846 |        66894 |       2 |        1 |      1 |        4 |        2 |
| talkto3         |   68846 |        67393 |       2 |        1 |      1 |        4 |        2 |
| talkto4         |   68846 |        67941 |       2 |        1 |      1 |        4 |        2 |
| talkto5         |   68846 |        68302 |       2 |        1 |      1 |        4 |        2 |
| known1          |   68846 |        67460 |       3 |        1 |      1 |        3 |        3 |
| known2          |   68846 |        67688 |       3 |        1 |      1 |        3 |        3 |
| known3          |   68846 |        67926 |       3 |        1 |      1 |        3 |        3 |
| known4          |   68846 |        68241 |       3 |        1 |      1 |        3 |        3 |
| known5          |   68846 |        68470 |       3 |        1 |      1 |        3 |        3 |
| educ1           |   68846 |        66438 |       4 |        2 |      0 |        7 |        4 |
| educ2           |   68846 |        66960 |       4 |        2 |      0 |        7 |        4 |
| educ3           |   68846 |        67436 |       4 |        2 |      0 |        7 |        4 |
| educ4           |   68846 |        67971 |       4 |        2 |      0 |        7 |        4 |
| educ5           |   68846 |        68318 |       4 |        2 |      0 |        7 |        4 |
| age1            |   68846 |        66417 |      45 |       15 |     14 |       91 |       44 |
| age2            |   68846 |        66911 |      45 |       16 |     10 |       93 |       44 |
| age3            |   68846 |        67410 |      43 |       15 |      8 |       92 |       42 |
| age4            |   68846 |        67949 |      43 |       16 |      2 |       90 |       41 |
| age5            |   68846 |        68303 |      42 |       16 |      9 |       92 |       40 |
| relig1          |   68846 |        66552 |       2 |        1 |      1 |        5 |        1 |
| relig2          |   68846 |        67046 |       2 |        1 |      1 |        5 |        1 |
| relig3          |   68846 |        67525 |       2 |        1 |      1 |        5 |        1 |
| relig4          |   68846 |        68018 |       2 |        1 |      1 |        5 |        1 |
| relig5          |   68846 |        68346 |       2 |        1 |      1 |        5 |        1 |
| partyid1        |   68846 |        67471 |       2 |        1 |      1 |        4 |        1 |
| partyid2        |   68846 |        67799 |       2 |        1 |      1 |        4 |        1 |
| partyid3        |   68846 |        68078 |       2 |        1 |      1 |        4 |        1 |
| talkpol1        |   68846 |        67157 |       3 |        2 |      1 |        6 |        3 |
| talkpol2        |   68846 |        67441 |       4 |        2 |      1 |        6 |        3 |
| talkpol3        |   68846 |        67794 |       4 |        2 |      1 |        6 |        4 |
| talkpol         |   68846 |        67476 |       3 |        1 |      1 |        4 |        3 |
| frndknow        |   68846 |        67329 |       2 |        1 |      1 |        5 |        2 |
| memfrat         |   68846 |        48235 |       2 |        0 |      1 |        2 |        2 |
| memserv         |   68846 |        48236 |       2 |        0 |      1 |        2 |        2 |
| memvet          |   68846 |        48221 |       2 |        0 |      1 |        2 |        2 |
| mempolit        |   68846 |        48231 |       2 |        0 |      1 |        2 |        2 |
| memunion        |   68846 |        48225 |       2 |        0 |      1 |        2 |        2 |
| memsport        |   68846 |        48209 |       2 |        0 |      1 |        2 |        2 |
| memyouth        |   68846 |        48239 |       2 |        0 |      1 |        2 |        2 |
| memschl         |   68846 |        48239 |       2 |        0 |      1 |        2 |        2 |
| memhobby        |   68846 |        48238 |       2 |        0 |      1 |        2 |        2 |
| memgreek        |   68846 |        48243 |       2 |        0 |      1 |        2 |        2 |
| memnat          |   68846 |        48257 |       2 |        0 |      1 |        2 |        2 |
| memfarm         |   68846 |        48257 |       2 |        0 |      1 |        2 |        2 |
| memlit          |   68846 |        48245 |       2 |        0 |      1 |        2 |        2 |
| memprof         |   68846 |        48239 |       2 |        0 |      1 |        2 |        2 |
| memchurh        |   68846 |        48191 |       2 |        0 |      1 |        2 |        2 |
| memother        |   68846 |        48788 |       2 |        0 |      1 |        2 |        2 |
| memnum          |   68846 |        48056 |       2 |        2 |      0 |       16 |        1 |
| solfrat         |   68846 |        68692 |       1 |        0 |      1 |        2 |        1 |
| solserv         |   68846 |        68692 |       1 |        0 |      1 |        2 |        1 |
| solvet          |   68846 |        68750 |       1 |        0 |      1 |        2 |        1 |
| solpolit        |   68846 |        68777 |       1 |        0 |      1 |        2 |        1 |
| solunion        |   68846 |        68624 |       1 |        0 |      1 |        2 |        1 |
| solsport        |   68846 |        68528 |       2 |        0 |      1 |        2 |        2 |
| solyouth        |   68846 |        68702 |       1 |        0 |      1 |        2 |        1 |
| solschl         |   68846 |        68637 |       1 |        0 |      1 |        2 |        1 |
| solhobby        |   68846 |        68707 |       2 |        0 |      1 |        2 |        2 |
| solgreek        |   68846 |        68763 |       1 |        0 |      1 |        2 |        1 |
| solnat          |   68846 |        68805 |       1 |        0 |      1 |        2 |        1 |
| solfarm         |   68846 |        68796 |       1 |        0 |      1 |        2 |        1 |
| sollit          |   68846 |        68729 |       1 |        1 |      1 |        2 |        1 |
| solprof         |   68846 |        68612 |       1 |        0 |      1 |        2 |        1 |
| solchurh        |   68846 |        68316 |       1 |        0 |      1 |        2 |        1 |
| solother        |   68846 |        68656 |       1 |        0 |      1 |        2 |        1 |
| actfrat         |   68846 |        68694 |       1 |        0 |      1 |        2 |        1 |
| actserv         |   68846 |        68693 |       1 |        0 |      1 |        2 |        1 |
| actvet          |   68846 |        68748 |       1 |        1 |      1 |        2 |        1 |
| actpolit        |   68846 |        68780 |       1 |        0 |      1 |        2 |        1 |
| actunion        |   68846 |        68621 |       2 |        1 |      1 |        2 |        2 |
| actsport        |   68846 |        68536 |       1 |        0 |      1 |        2 |        1 |
| actyouth        |   68846 |        68700 |       1 |        0 |      1 |        2 |        1 |
| actschl         |   68846 |        68636 |       1 |        0 |      1 |        2 |        1 |
| acthobby        |   68846 |        68710 |       1 |        0 |      1 |        2 |        1 |
| actgreek        |   68846 |        68765 |       1 |        0 |      1 |        2 |        1 |
| actnat          |   68846 |        68804 |       1 |        0 |      1 |        2 |        1 |
| actfarm         |   68846 |        68794 |       1 |        0 |      1 |        2 |        1 |
| actlit          |   68846 |        68727 |       1 |        0 |      1 |        2 |        1 |
| actprof         |   68846 |        68613 |       1 |        0 |      1 |        2 |        1 |
| actchurh        |   68846 |        68324 |       1 |        0 |      1 |        2 |        1 |
| actother        |   68846 |        68658 |       1 |        0 |      1 |        2 |        1 |
| churhgrp        |   68846 |        68279 |       2 |        1 |      1 |        3 |        1 |
| mostact         |   68846 |        68149 |      10 |        5 |      1 |       16 |       10 |
| caregrp         |   68846 |        67669 |       4 |        1 |      1 |        5 |        4 |
| servegrp        |   68846 |        67672 |       1 |        0 |      1 |        2 |        1 |
| leadgrp         |   68846 |        67671 |       2 |        0 |      1 |        2 |        2 |
| givegrp         |   68846 |        67669 |       1 |        0 |      1 |        2 |        1 |
| attndgrp        |   68846 |        67670 |       1 |        0 |      1 |        2 |        1 |
| writegrp        |   68846 |        67675 |       2 |        0 |      1 |        2 |        2 |
| lobbygrp        |   68846 |        67673 |       2 |        0 |      1 |        2 |        2 |
| loclived        |   68846 |        67035 |       3 |        1 |      1 |        5 |        4 |
| loctrust        |   68846 |        67117 |       2 |        1 |      1 |        4 |        2 |
| locinflu        |   68846 |        67067 |       3 |        1 |      1 |        4 |        3 |
| locprob         |   68846 |        67036 |       2 |        0 |      1 |        2 |        2 |
| locgrp          |   68846 |        67039 |       2 |        0 |      1 |        2 |        2 |
| loccare         |   68846 |        67072 |       2 |        1 |      1 |        4 |        2 |
| intpol          |   68846 |        67041 |       2 |        1 |      1 |        4 |        2 |
| swayvote        |   68846 |        67040 |       3 |        1 |      1 |        4 |        4 |
| workpol         |   68846 |        67037 |       4 |        1 |      1 |        4 |        4 |
| polrally        |   68846 |        67039 |       2 |        0 |      1 |        2 |        2 |
| loclobby        |   68846 |        67036 |       2 |        0 |      1 |        2 |        2 |
| locself         |   68846 |        68256 |       2 |        1 |      1 |        3 |        3 |
| othlobby        |   68846 |        67038 |       2 |        0 |      1 |        2 |        2 |
| othself         |   68846 |        68357 |       2 |        1 |      1 |        3 |        3 |
| governor        |   68846 |        67392 |       1 |        0 |      1 |        2 |        1 |
| usrep           |   68846 |        68067 |       1 |        0 |      1 |        2 |        1 |
| schlhead        |   68846 |        68223 |       1 |        0 |      1 |        2 |        1 |
| fedtrust        |   68846 |        67065 |       3 |        1 |      1 |        4 |        3 |
| locvote         |   68846 |        67051 |       2 |        1 |      1 |        4 |        2 |
| gavepol         |   68846 |        67039 |       2 |        0 |      1 |        2 |        2 |
| blkinflu        |   68846 |        68323 |       4 |        1 |      2 |        5 |        4 |
| blkgains        |   68846 |        68311 |       5 |        2 |      1 |        7 |        5 |
| feinflu         |   68846 |        67841 |       4 |        1 |      1 |        5 |        4 |
| fegains         |   68846 |        67826 |       5 |        2 |      1 |        7 |        6 |
| scisolve        |   68846 |        67401 |       2 |        0 |      1 |        2 |        2 |
| scichng         |   68846 |        67397 |       2 |        0 |      1 |        2 |        2 |
| scipry          |   68846 |        67400 |       2 |        0 |      1 |        2 |        2 |
| scimoral        |   68846 |        67411 |       2 |        0 |      1 |        2 |        2 |
| switched        |   68846 |        67376 |       2 |        0 |      1 |        2 |        2 |
| switch1         |   68846 |        68457 |  176397 |    83426 | 110000 |   500000 |   160035 |
| switch2         |   68846 |        68720 |  179779 |    95584 | 110000 |   500000 |   160040 |
| switch3         |   68846 |        68816 |  174342 |    96357 | 114000 |   500000 |   148000 |
| switnum         |   68846 |        68464 |       1 |        1 |      1 |        4 |        1 |
| switage1        |   68846 |        68513 |      24 |       11 |      1 |       80 |       23 |
| switage2        |   68846 |        68771 |      30 |       13 |     11 |       73 |       26 |
| switwhy1        |   68846 |        68495 |      37 |       23 |     10 |       79 |       30 |
| switwhy2        |   68846 |        68769 |      43 |       26 |     10 |       87 |       40 |
| marelig         |   68846 |        67322 |       2 |        1 |      1 |        5 |        1 |
| maden           |   68846 |        67939 |      32 |       19 |     10 |       70 |       22 |
| maoth           |   68846 |        68688 |      52 |       24 |      7 |      132 |       56 |
| majew           |   68846 |        68748 |       2 |        1 |      1 |        4 |        2 |
| mafund          |   68846 |        67462 |       2 |        1 |      1 |        3 |        2 |
| parelig         |   68846 |        67481 |       2 |        1 |      1 |        5 |        1 |
| paden           |   68846 |        68146 |      33 |       19 |     10 |       70 |       22 |
| paoth           |   68846 |        68725 |      50 |       24 |      3 |      132 |       51 |
| pajew           |   68846 |        68752 |       2 |        1 |      1 |        4 |        2 |
| pafund          |   68846 |        67610 |       2 |        1 |      1 |        3 |        2 |
| churhsch        |   68846 |        65044 |       1 |        3 |      0 |       17 |        0 |
| sunsch16        |   68846 |        65935 |       2 |        1 |      1 |        5 |        1 |
| grace16         |   68846 |        67375 |       1 |        0 |      1 |        2 |        1 |
| join16          |   68846 |        67375 |       1 |        0 |      1 |        2 |        1 |
| lapsed          |   68846 |        67366 |       1 |        0 |      1 |        2 |        1 |
| churhmem        |   68846 |        67365 |       1 |        0 |      1 |        2 |        1 |
| churhact        |   68846 |        67958 |       2 |        0 |      1 |        2 |        2 |
| tvrelig         |   68846 |        65920 |       0 |        1 |      0 |        9 |        0 |
| god             |   68846 |        41577 |       5 |        1 |      1 |        6 |        6 |
| reborn          |   68846 |        44219 |       2 |        0 |      1 |        2 |        2 |
| savesoul        |   68846 |        45291 |       2 |        0 |      1 |        2 |        2 |
| saygrace        |   68846 |        67377 |       1 |        1 |      1 |        2 |        1 |
| readword        |   68846 |        65936 |       5 |        1 |      1 |        6 |        5 |
| punsin          |   68846 |        60862 |       3 |        1 |      1 |        4 |        3 |
| blkwhite        |   68846 |        60535 |       2 |        1 |      1 |        4 |        2 |
| rotapple        |   68846 |        60523 |       2 |        1 |      1 |        4 |        2 |
| permoral        |   68846 |        60577 |       2 |        1 |      1 |        4 |        2 |
| decbible        |   68846 |        67376 |       3 |        1 |      1 |        5 |        3 |
| decoths         |   68846 |        67378 |       2 |        1 |      1 |        5 |        2 |
| decchurh        |   68846 |        67387 |       3 |        1 |      1 |        5 |        3 |
| decself         |   68846 |        67376 |       1 |        1 |      1 |        5 |        1 |
| gochurch        |   68846 |        65983 |       3 |        2 |      1 |        5 |        3 |
| believe         |   68846 |        65976 |       2 |        1 |      1 |        5 |        1 |
| follow          |   68846 |        65985 |       2 |        1 |      1 |        5 |        2 |
| goownway        |   68846 |        66055 |       2 |        1 |      1 |        5 |        2 |
| myfaith         |   68846 |        67391 |       3 |        2 |      1 |        7 |        3 |
| madatgod        |   68846 |        67401 |       5 |        2 |      1 |        7 |        6 |
| doubts1         |   68846 |        66017 |       2 |        1 |      1 |        3 |        3 |
| doubts2         |   68846 |        66013 |       2 |        1 |      1 |        3 |        2 |
| doubts3         |   68846 |        67449 |       3 |        1 |      1 |        3 |        3 |
| doubts4         |   68846 |        67416 |       3 |        1 |      1 |        3 |        3 |
| faith1          |   68846 |        66074 |       2 |        1 |      1 |        3 |        2 |
| faith2          |   68846 |        66066 |       2 |        1 |      1 |        3 |        2 |
| faith3          |   68846 |        67448 |       2 |        1 |      1 |        3 |        2 |
| faith4          |   68846 |        67555 |       3 |        1 |      1 |        3 |        3 |
| frndcon1        |   68846 |        66144 |       2 |        1 |      1 |        4 |        2 |
| frndcon2        |   68846 |        66443 |       2 |        1 |      1 |        4 |        2 |
| frndcon3        |   68846 |        66854 |       2 |        1 |      1 |        4 |        2 |
| frndcon4        |   68846 |        68127 |       2 |        1 |      1 |        4 |        2 |
| frndcon5        |   68846 |        68294 |       2 |        1 |      1 |        4 |        2 |
| frndrel1        |   68846 |        66912 |       2 |        1 |      1 |        5 |        1 |
| frndrel2        |   68846 |        67123 |       2 |        1 |      1 |        5 |        1 |
| frndrel3        |   68846 |        67397 |       2 |        1 |      1 |        5 |        1 |
| frndrel4        |   68846 |        68419 |       2 |        1 |      1 |        5 |        2 |
| frndrel5        |   68846 |        68529 |       2 |        1 |      1 |        5 |        2 |
| frndden1        |   68846 |        67872 |      36 |       21 |     10 |       70 |       28 |
| frndden2        |   68846 |        68027 |      38 |       21 |     10 |       70 |       32 |
| frndden3        |   68846 |        68132 |      36 |       21 |     10 |       70 |       29 |
| frndden4        |   68846 |        68667 |      41 |       22 |     10 |       70 |       38 |
| frndden5        |   68846 |        68725 |      42 |       23 |     10 |       70 |       41 |
| frndoth1        |   68846 |        68688 |      52 |       24 |      3 |      129 |       53 |
| frndoth2        |   68846 |        68721 |      49 |       24 |     11 |      150 |       52 |
| frndoth3        |   68846 |        68729 |      54 |       27 |      9 |      150 |       58 |
| frndoth4        |   68846 |        68824 |      61 |       33 |      3 |      150 |       58 |
| frndoth5        |   68846 |        68832 |      62 |       35 |     20 |      147 |       56 |
| frndfnd1        |   68846 |        67077 |       2 |        1 |      1 |        3 |        2 |
| frndfnd2        |   68846 |        67279 |       2 |        1 |      1 |        3 |        2 |
| frndfnd3        |   68846 |        67537 |       2 |        1 |      1 |        3 |        2 |
| frndfnd4        |   68846 |        68480 |       2 |        1 |      1 |        3 |        2 |
| frndfnd5        |   68846 |        68564 |       2 |        1 |      1 |        3 |        2 |
| frndrac1        |   68846 |        67546 |       4 |        1 |      1 |        5 |        4 |
| frndrac2        |   68846 |        67707 |       4 |        1 |      1 |        5 |        4 |
