+-----------------+---------+--------------+---------+----------+--------+----------+----------+
| variable        |   count |   null_count |    mean |      std |    min |      max |   median |
| maoccstatus     |   68846 |        13759 |       2 |        1 |      1 |        7 |        1 |
| maocctag        |   68846 |        13759 |       1 |        0 |      1 |        3 |        1 |
| mapres10        |   68846 |        44998 |      41 |       13 |     16 |       80 |       39 |
| mapres105plus   |   68846 |        47765 |      42 |       25 |      5 |       97 |       38 |
| maind10         |   68846 |        45113 |    6550 |     2571 |    170 |     9870 |     7860 |
| maindstatus     |   68846 |        13759 |       2 |        1 |      1 |        7 |        1 |
| maindtag        |   68846 |        13759 |       1 |        0 |      1 |        3 |        1 |
| sibs            |   68846 |         1760 |       4 |        3 |      0 |       68 |        3 |
| childs          |   68846 |          250 |       2 |        2 |      0 |        8 |        2 |
| age             |   68846 |          561 |      46 |       18 |     18 |       89 |       44 |
| agekdbrn        |   68846 |        42385 |      24 |        6 |      9 |       65 |       23 |
| educ            |   68846 |          243 |      13 |        3 |      0 |       20 |       12 |
| paeduc          |   68846 |        19919 |      11 |        4 |      0 |       20 |       12 |
| maeduc          |   68846 |        11363 |      11 |        4 |      0 |       20 |       12 |
| speduc          |   68846 |        33939 |      13 |        3 |      0 |       20 |       12 |
| coeduc          |   68846 |        67676 |      13 |        3 |      0 |       20 |       12 |
| codeg           |   68846 |        67639 |       1 |        1 |      0 |        4 |        1 |
| degree          |   68846 |          196 |       1 |        1 |      0 |        4 |        1 |
| padeg           |   68846 |        16938 |       1 |        1 |      0 |        4 |        1 |
| madeg           |   68846 |         8549 |       1 |        1 |      0 |        4 |        1 |
| spdeg           |   68846 |        33807 |       1 |        1 |      0 |        4 |        1 |
| major1          |   68846 |        65223 |      29 |       20 |      1 |       82 |       20 |
| major2          |   68846 |        68165 |      30 |       20 |      1 |       82 |       25 |
| dipged          |   68846 |        56634 |       1 |        0 |      1 |        5 |        1 |
| spdipged        |   68846 |        65956 |       1 |        0 |      1 |        3 |        1 |
| codipged        |   68846 |        68322 |       1 |        0 |      1 |        3 |        1 |
| cosector        |   68846 |        68719 |       2 |        1 |      1 |        6 |        2 |
| whenhs          |   68846 |        67360 |    1988 |       18 |   1936 |     2015 |     1990 |
| whencol         |   68846 |        66170 |    1994 |       16 |   1938 |     2016 |     1997 |
| sector          |   68846 |        66504 |       2 |        1 |      0 |        9 |        1 |
